county,fips,year,ozonePersonDayMon,ozoneDayStdMon,ozoneDayStdMod,ozoneAvgMod,ozoneModelFlag,pm25AvgMon,pm25PersonDayMon,pm25PctMon,pm25AvgMod,pm25ModelFlag,hasMonitor,hasOzoneMonitor,hasPm25Monitor,
"Norman","27107","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.7","null","n","n","n"
"Olmsted","27109","2017","0","0","null","36","null","6.9","0","0","7.5","null","y","y","y"
"Otter Tail","27111","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.4","null","n","n","n"
"Pennington","27113","2017","No data available","No data available","null","33","null","No data available","No data available","No data available","6.5","null","n","n","n"
"Pine","27115","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.2","null","n","n","n"
"Pipestone","27117","2017","No data available","No data available","null","37","null","No data available","No data available","No data available","5.9","null","n","n","n"
"Polk","27119","2017","No data available","No data available","null","33","null","No data available","No data available","No data available","7.2","null","n","n","n"
"Pope","27121","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.2","null","n","n","n"
"Ramsey","27123","2017","No data available","No data available","null","34","null","7.6","0","0","8.0","null","y","n","y"
"Red Lake","27125","2017","No data available","No data available","null","33","null","No data available","No data available","No data available","6.5","null","n","n","n"
"Redwood","27127","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.2","null","n","n","n"
"Renville","27129","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.3","null","n","n","n"
"Rice","27131","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.6","null","n","n","n"
"Rock","27133","2017","No data available","No data available","null","37","null","No data available","No data available","No data available","6.4","null","n","n","n"
"Roseau","27135","2017","No data available","No data available","null","32","null","No data available","No data available","No data available","6.5","null","n","n","n"
"St. Louis","27137","2017","0","0","null","33","null","5.1","0","0","5.3","null","y","y","y"
"Scott","27139","2017","0","0","null","35","null","6.5","0","0","7.4","null","y","y","y"
"Sherburne","27141","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","7.1","null","n","n","n"
"Sibley","27143","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.8","null","n","n","n"
"Stearns","27145","2017","0","0","null","35","null","5.8","0","0","6.6","null","y","y","y"
"Steele","27147","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.4","null","n","n","n"
"Stevens","27149","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.4","null","n","n","n"
"Swift","27151","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.3","null","n","n","n"
"Todd","27153","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.2","null","n","n","n"
"Traverse","27155","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.4","null","n","n","n"
"Wabasha","27157","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.2","null","n","n","n"
"Wadena","27159","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","5.9","null","n","n","n"
"Waseca","27161","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.3","null","n","n","n"
"Washington","27163","2017","0","0","null","34","null","No data available","No data available","No data available","7.7","null","y","y","n"
"Watonwan","27165","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.7","null","n","n","n"
"Wilkin","27167","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.6","null","n","n","n"
"Winona","27169","2017","No data available","No data available","null","36","null","No data available","0","0","7.5","null","y","n","y"
"Wright","27171","2017","0","0","null","35","null","6.6","0","0","7.1","null","y","y","y"
"Yellow Medicine","27173","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.0","null","n","n","n"

Note: The National Ambient Air Quality Standard (annual) for fine particles is 12 micrograms per cubic meter of air.
* No Data Available.  (Monitor data are not available if there were no active monitors in the county during the time selected or the active monitors did not meet the minimum completeness requirements during the time selected.)
micrograms per cubic meter = micrograms per cubic meter of ambient air
ppb = parts per billion
Person-days are calculated as: (% of days above ozone/PM2.5 standard) x (number of days monitored in a year) x (county population)
standard = US EPA National Ambient Air Quality Standard (NAAQS)
Monitor data are levels of PM2.5 and ozone measured in the air by air quality monitors.
These data are available only for counties with air monitors.
Modeled air data are estimated levels of PM2.5 and ozone in the air and are available for all counties.
Modeled air estimates may differ from the air monitor measurements.
These data can not be used to show regulatory compliance with the National Ambient Air Quality Standard.

Source:
Minnesota Public Health Data Access
Minnesota Environmental Public Health Tracking Program
Minnesota Department of Health
P.O. Box 64882
"St. Paul, MN 55164-0882"
Phone: (651) 201-5900 or toll free: 1-800-205-4987
Fax: (651) 201-5926
E-mail: tracking.health@state.mn.us
Web: https://apps.health.state.mn.us/mndata/ 

